Strain,source,data,E_lm,B0_lm,E_ss,B0_ss,B0,E
Krist1997_Saureus_0.997,meta,,-1.0461011333989887,-10.165887527179164,1.614996693321862,3.8140364440322454e-5,0.5549587960864147,1.614996693321862
Krist1997_Sxylosus_0.909,meta,,-1.236832616311161,-10.119710633379201,1.738123226974173,5.92041064071601e-5,0.8763153663143998,1.738123226974173
Krist1997_Sxylosus_0.949,meta,,-1.1152073140550556,-9.524269348808362,1.9980579382484351,1.3208531956569828e-4,1.4627708468502276,1.9980579382484351
Krist1997_Sxylosus_0.976,meta,,-1.1991456724800826,-9.391368218277636,1.4386917005779805,8.944463070470216e-5,1.1778747218696837,1.4386917005779805
Utkin_2004_growth,meta,,-2.069386039776522,-15.284192644069519,0.8086301039592099,3.549240889572478e-6,-1.1804131373495768,0.8086301039592099
Wahlund_1991_C_tepidum,meta,,-0.45499498348898976,-11.230987070111414,0.5250686570388517,1.0605210286722076e-5,-0.38044394611923865,0.5250686570388517
Warth_1978_B_megaterium,meta,,-0.355552129943353,-8.52487308846424,0.36423849631469807,1.955170781529365e-4,1.749400024647071,0.36423849631469807
Wiegel_1979_C_themosulphidum,meta,,-0.7567800240398646,-13.445004850093328,0.6487101174093857,2.6938748598128735e-6,-1.381940315790201,0.6487101174093857
Wiegel_1981_T_ethanolicus,meta,,-0.36167967297664066,-11.79625047563375,0.43986991774228035,5.288641842690109e-6,-0.8889400041195897,0.43986991774228035
Zhilina_2001_H_saccharophilum,meta,,-1.2293520915160034,-13.369227088657102,0.8532606550053735,4.556997642172381e-6,-0.997757951084665,0.8532606550053735
39667,meta,,-0.5734721452427594,-12.062133969607904,0.6111988805767731,5.755055982462997e-6,-0.8271726798222481,0.6111988805767731
39668,meta,,-0.46253775562163546,-11.814071402956758,0.42486708706346976,8.1465736988726e-6,-0.5731974736260987,0.42486708706346976
CT234,meta,,-0.9050634894572414,-12.071447113269254,0.834812260234196,5.9862453398232845e-6,-0.7983886946029273,0.834812260234196
